1.65362;42.57952;3039154;2
1.49129;42.46372;3039163;2
1.73361;42.54277;3039604;2
1.53319;42.55623;3039678;2
1.53414;42.50729;3040051;2
1.51483;42.54499;3040132;2
1.58014;42.53474;3040686;1
1.59756;42.5676;3041204;1
1.48453;42.57205;3041519;3
1.52109;42.50779;3041563;1
55.55517;25.56473;290594;2
55.9432;25.78953;291074;2
53.7881;23.14355;291279;1
56.34199;25.33132;291696;2
55.30472;25.25817;292223;2
56.27291;25.61955;292239;3
55.4033;25.35731;292672;1
52.73056;24.11028;292688;3
56.34141;25.11641;292878;3
55.76056;24.19167;292913;1
55.43504;25.41111;292932;2
55.88157;25.28812;292953;2
54.36667;24.46667;292968;1
69.73417;33.54222;1120471;3
67.90567;34.3436;1120473;2
61.19778;34.65389;1120483;2
64.77457;35.3782;1120484;1
66.42132;35.94831;1120487;3
68.43944;33.32361;1120500;1
66.84029;36.08352;1120501;1
69.02774;33.43778;1120543;1
71.34833;36.52944;1120616;2
65.4736;31.9848;1120627;3
61.74675;34.34264;1120711;2
68.44573;32.84734;1120863;2
68.79167;33.14667;1120879;1
61.88333;30.96667;1120985;2
66.17708;32.3726;1121045;1
69.61131;37.46572;1121271;2
68.64622;32.93742;1121418;3
63.85553;32.25122;1121855;1
68.40204;33.68847;1122068;3
63.72868;33.97509;1122189;2
63.86361;33.69032;1122402;2
61.26895;34.59431;1122408;3
64.42116;33.52118;1122464;2
70.27674;36.88168;1122705;3
65.87331;32.62675;1122747;1
69.53451;36.73605;1123004;2
66.06164;35.69941;1123343;1
69.64917;34.85501;1123424;2
62.94936;32.24139;1123666;2
66.40001;31.00575;1123906;2
69.51528;33.20222;1123935;1
66.20823;36.09916;1123963;1
68.85578;35.00553;1124621;3
70.58859;34.57169;1124973;2
62.1474;33.30294;1125155;2
69.91283;33.28744;1125267;3
69.00685;35.03975;1125362;1
65.7529;36.66757;1125444;1
69.37684;33.42386;1125497;1
66.32376;31.80347;1125866;1
70.73928;36.97984;1125890;3
64.3052;34.10738;1125896;3
67.41315;32.52154;1125962;1
69.36881;33.69056;1126216;3
68.71346;34.00037;1126263;2
65.8297;36.13529;1126266;1
67.03324;32.56521;1126710;2
65.67632;33.50998;1126796;2
69.76005;34.58962;1126884;3
71.10962;34.79023;1126935;1
